QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,52.44610664629577,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,42.76656196892449,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,34.75200991303363,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,39.92959040854923,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,33.82644831864156,False,"two-pointers,string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,47.88542852037676,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,28.570131717903692,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,17.215670862665043,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,56.27730466519354,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,28.152039619112646,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,55.215178355333414,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,64.68730923336791,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,61.162081025820456,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,42.749153957246186,False,"string,trie",algorithms
15,3Sum,3sum,Medium,34.473237841713186,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,45.80823109061005,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,60.37743074621636,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,36.24420455331811,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,45.268601344734414,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,40.56369615081356,False,"string,stack",algorithms
